Project,Commit,Lines Added in Fixed Version,Lines Deleted in Fixed Version,Hunks in Fixed Version,project,codeLink,CWE ID,CVE ID
Espruino,bed844f109b6c222816740555068de2e101e8018,14.0,13.0,3.0,Espruino,https://github.com/espruino/Espruino/commit/bed844f109b6c222816740555068de2e101e8018,CWE-787,CVE-2018-11593
Espruino,ce1924193862d58cb43d3d4d9dada710a8361b89,1.0,1.0,1.0,Espruino,https://github.com/espruino/Espruino/commit/ce1924193862d58cb43d3d4d9dada710a8361b89,CWE-119,CVE-2018-11596
FFmpeg,124eb202e70678539544f6268efc98131f19fa49,529.0,101.0,44.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/124eb202e70678539544f6268efc98131f19fa49,CWE-834,CVE-2017-14054
FFmpeg,2aa9047486dbff12d9e040f917e5f799ed2fd78b,18.0,11.0,3.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/2aa9047486dbff12d9e040f917e5f799ed2fd78b,CWE-476,CVE-2018-13301
FFmpeg,3819db745da2ac7fb3faacb116788c32f4753f34,4.0,4.0,7.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/3819db745da2ac7fb3faacb116788c32f4753f34,CWE-119,CVE-2013-7009
FFmpeg,4f05e2e2dc1a89f38cd9f0960a6561083d714f1e,2.0,0.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/4f05e2e2dc1a89f38cd9f0960a6561083d714f1e,CWE-834,CVE-2017-14055
FFmpeg,689e59b7ffed34eba6159dcc78e87133862e3746,1.0,0.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/689e59b7ffed34eba6159dcc78e87133862e3746,CWE-119,CVE-2016-3062
FFmpeg,7d57ca4d9a75562fa32e40766211de150f8b3ee7,8.0,0.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/7d57ca4d9a75562fa32e40766211de150f8b3ee7,CWE-119,CVE-2016-10191
FFmpeg,7ec414892ddcad88313848494b6fc5f437c9ca4a,7.0,0.0,4.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/7ec414892ddcad88313848494b6fc5f437c9ca4a,CWE-835,CVE-2017-14058
FFmpeg,8312e3fc9041027a33c8bc667bb99740fdf41dd5,1.0,1.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/8312e3fc9041027a33c8bc667bb99740fdf41dd5,CWE-399,CVE-2011-2161
