Project,commit,Lines Added in Fixed Version,Lines Deleted in Fixed Version,Hunks in Fixed Version,project,codeLink,CWE ID,CVE ID,vulnerability_fixed_again_in_version,Prompt File,Reasoning,future_commit_id
Espruino,bed844f109b6c222816740555068de2e101e8018,14.0,13.0,3.0,Espruino,https://github.com/espruino/Espruino/commit/bed844f109b6c222816740555068de2e101e8018,CWE-787,CVE-2018-11593,v17,2_Espruino_Espruino_bed844f109b6c222816740555068de2e101e8018_jslex.c_changes_v16_v17.txt.txt,"The previous fix replaced strncpy() with strcpy() and added an assertion to check buffer size, but this actually introduced a potential vulnerability. While the assertion checks if len>28 at the start of the function, the code then unconditionally uses strcpy() which could cause buffer overflows if the source string is longer than the destination buffer. The candidate commit essentially refactors this code to separate the string lookup into a separate function (jslReservedWordAsString), but more importantly adds additional token handling logic that was missing in the previous implementation, particularly for pretokenised code. This fixes an edge case where the previous unsafe strcpy() usage could have led to buffer overflows when handling certain reserved words in pretokenised code context.",b03f6dba0a2c502c47db83ecee895871b02956f4
Espruino,ce1924193862d58cb43d3d4d9dada710a8361b89,1.0,1.0,1.0,Espruino,https://github.com/espruino/Espruino/commit/ce1924193862d58cb43d3d4d9dada710a8361b89,CWE-119,CVE-2018-11596,v13,3_Espruino_Espruino_ce1924193862d58cb43d3d4d9dada710a8361b89_jsvar.c_changes_v12_v13.txt.txt,"The previous fix (ce1924193) attempted to fix a buffer overflow vulnerability in jsvGetString by using s[l] instead of *s to check string bounds. However, that fix introduced a regression where it didn't properly handle string length and copying. The candidate commit fixes several string-related vulnerabilities introduced including: 1) Removing the len-- decrement which could cause buffer overflow by writing beyond buffer bounds, 2) Using strncpy instead of manual char-by-char copy which was vulnerable to buffer overruns, 3) Fixing assumptions about ref validation in pointer access that could cause memory corruption, 4) Adding proper bounds checking on string lengths (capping at 65535 chars), 5) Properly handling string termination. These changes directly address memory safety issues that were created by the original incomplete fix.",0054b39c00a4e2e946f1c358a1a6852e39b8304e
FFmpeg,124eb202e70678539544f6268efc98131f19fa49,529.0,101.0,44.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/124eb202e70678539544f6268efc98131f19fa49,CWE-834,CVE-2017-14054,v5,19_FFmpeg_FFmpeg_124eb202e70678539544f6268efc98131f19fa49_rmdec.c_changes_v4_v5.txt.txt,"The previous fix (124eb202e70) added functionality to handle MIME types in the RM demuxer, particularly in rm_read_multi(). However, this introduced a potential use-after-free vulnerability. The issue arises because the MIME type pointer is passed to ff_rm_read_mdpr_codecdata() inside a loop where multiple streams are processed. This MIME pointer could become invalid if the previous iteration freed the memory containing the MIME data. The future candidate commit fixes this by explicitly passing NULL instead of the mime pointer in rm_read_multi(), preventing the use-after-free condition. This is a clear case where the previous fix introduced a new security vulnerability that is then fixed by the candidate commit.",a7e032a277452366771951e29fd0bf2bd5c029f0
FFmpeg,2aa9047486dbff12d9e040f917e5f799ed2fd78b,18.0,11.0,3.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/2aa9047486dbff12d9e040f917e5f799ed2fd78b,CWE-476,CVE-2018-13301,v3,38_FFmpeg_FFmpeg_2aa9047486dbff12d9e040f917e5f799ed2fd78b_mpeg4videodec.c_changes_v2_v3.txt.txt,"The previous fix (2aa9047) modified the profile and level handling in MPEG4 video decoding, introducing a new assertion check 'av_assert0(s->avctx->profile == FF_PROFILE_MPEG4_SIMPLE_STUDIO)' when studio_profile is active. However, this assertion could fail because the profile field (s->avctx->profile) can be modified by code both inside and outside the decoder, leading to potential assertion failures and crashes when the profile value doesn't match the studio_profile state. The candidate commit fixes this vulnerability by removing the problematic assertion, acknowledging that the profile field is not a reliable indicator of the internal codec state. This is a clear case where the previous security fix introduced a new vulnerability (assertion failure) that needed to be fixed in the candidate commit.",bd27a9364ca274ca97f1df6d984e88a0700fb235
FFmpeg,3819db745da2ac7fb3faacb116788c32f4753f34,4.0,4.0,7.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/3819db745da2ac7fb3faacb116788c32f4753f34,CWE-119,CVE-2013-7009,v3,43_FFmpeg_FFmpeg_3819db745da2ac7fb3faacb116788c32f4753f34_rpza.c_changes_v2_v3.txt.txt,"The previous fix attempted to prevent out-of-array accesses by performing pointer advances (ADVANCE_BLOCK) before using the pointers and setting initial pixel_ptr to -4. However, this fix introduced a new vulnerability related to buffer size checking. In the case 0x00 block type, the code only checked for 16 bytes availability (if (s->size - stream_ptr < 16)), but the actual operation requires reading 2 bytes for 15 out of 16 pixels, needing at least 30 bytes. The candidate commit fixes this by updating the check to require 30 bytes (if (s->size - stream_ptr < 30)). Additionally, the candidate commit reverts the order of ADVANCE_BLOCK calls to their original positions and resets pixel_ptr to 0, suggesting the previous fix's pointer manipulation strategy was problematic and could lead to incorrect buffer accesses. The vulnerability was directly introduced by the incomplete buffer size check in the previous fix.",7ba0cedbfeff5671b264d1d7e90777057b5714c6
FFmpeg,4f05e2e2dc1a89f38cd9f0960a6561083d714f1e,2.0,0.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/4f05e2e2dc1a89f38cd9f0960a6561083d714f1e,CWE-834,CVE-2017-14055,v10,55_FFmpeg_FFmpeg_4f05e2e2dc1a89f38cd9f0960a6561083d714f1e_mvdec.c_changes_v9_v10.txt.txt,"The previous fix added an EOF check after reading three 32-bit values (pos, asize, vsize) in one function, but failed to add similar checks in another similar function (read_index) that also reads multiple values from the same file format. This oversight created a new potential point of vulnerability where the code could read past EOF in the read_index function. The candidate commit specifically addresses this by adding the missing EOF check after reading values in read_index. Both commits deal with similar patterns of reading multiple 32-bit values and skipping bytes, suggesting that the first fix was incomplete and inadvertently highlighted a similar vulnerability pattern in another part of the code that processes the same file format. The fact that both fixes were found through fuzzing and address the same type of issue (EOF checks after reading multiple values) in the same file format handler strongly suggests that the second vulnerability was exposed after the first fix drew attention to this class of issues.",6c64351bb1f4dc148069a37754b746fcd4c784cf
FFmpeg,689e59b7ffed34eba6159dcc78e87133862e3746,1.0,0.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/689e59b7ffed34eba6159dcc78e87133862e3746,CWE-119,CVE-2016-3062,v26,77_FFmpeg_FFmpeg_689e59b7ffed34eba6159dcc78e87133862e3746_mov.c_changes_v25_v26.txt.txt,"The previous fix (FFmpeg_689e59b7ffed34) added 'sc->drefs_count = 0' before allocating new drefs to keep values consistent and prevent crashes. However, this fix introduced a new vulnerability in the memory management - when cleaning up resources in mov_read_close(), the code was still trying to access and free the old drefs array elements using the old drefs_count value rather than the newly reset count. The candidate commit fixed this by removing all the individual free calls for drefs elements and simply using av_freep to free the entire drefs array at once, avoiding any potential use-after-free or invalid memory access issues caused by the inconsistent drefs_count. The candidate commit directly addresses a vulnerability that was inadvertently created by the previous fix's incomplete handling of the drefs cleanup process.",f1f37c701143003fe5506a1fca971932382188ce
FFmpeg,7d57ca4d9a75562fa32e40766211de150f8b3ee7,8.0,0.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/7d57ca4d9a75562fa32e40766211de150f8b3ee7,CWE-119,CVE-2016-10191,v3,158_FFmpeg_FFmpeg_7d57ca4d9a75562fa32e40766211de150f8b3ee7_rtmppkt.c_changes_v2_v3.txt.txt,"The previous fix (v1->v2) added a check for packet size mismatches but only logged an error and destroyed the packet without returning an error code. This incomplete fix allowed code execution to continue, potentially leading to out-of-bounds writes in fragmented packets where subsequent fragments could declare larger sizes than the initial allocation. The candidate commit (v2->v3) addresses this vulnerability by adding 'return AVERROR_INVALIDDATA' after detecting a size mismatch, preventing potential buffer overflows. The candidate commit's message explicitly states it fixes 'out of bounds writes' that could occur when 'the follow-on packet declares a larger size than the initial one.' This indicates the previous fix introduced a vulnerability by not properly handling size mismatches in fragmented packets.",a4fec9a7eab842ea5eea1b1ee98624356cb31422
FFmpeg,7ec414892ddcad88313848494b6fc5f437c9ca4a,7.0,0.0,4.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/7ec414892ddcad88313848494b6fc5f437c9ca4a,CWE-835,CVE-2017-14058,v122,161_FFmpeg_FFmpeg_7ec414892ddcad88313848494b6fc5f437c9ca4a_hls.c_changes_v121_v122.txt.txt,"The previous fix introduced a max_reload value of 1000 to prevent infinite loops in HLS playlist reloading. However, this fix itself created a new security vulnerability: the high default value of 1000 combined with the RFC-mandated waiting periods (half target duration for unchanged playlists, full target duration for changed ones) meant that a malicious server could force the client to hang for an extremely long time. The candidate commit fixes this by reducing max_reload to 3, which maintains protection against infinite loops while preventing the long-hanging DoS vulnerability. The commit message explicitly states this was causing 'the appearance of a never ending reload loop' despite following RFC guidelines, indicating a security issue with the previous fix's implementation.",5f810435c2a6d985fabd9e6c025e0da0c99c39a9
FFmpeg,8312e3fc9041027a33c8bc667bb99740fdf41dd5,1.0,1.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/8312e3fc9041027a33c8bc667bb99740fdf41dd5,CWE-399,CVE-2011-2161,v15,170_FFmpeg_FFmpeg_8312e3fc9041027a33c8bc667bb99740fdf41dd5_ape.c_changes_v14_v15.txt.txt,"The candidate commit appears to be fixing a vulnerability introduced by the previous fix. The original code used 'url_feof()' to check for end-of-file condition, which was changed to 's->pb->eof_reached' in the first fix. However, the future candidate commit reverts this change back to 'url_feof()', suggesting that the previous fix's change to use 'eof_reached' directly was problematic. This direct access to the internal field 'eof_reached' could be unsafe as it might not properly handle all EOF conditions or could be accessed before proper initialization, potentially leading to security issues. The url_feof() function likely includes additional safety checks that were bypassed by directly accessing the eof_reached field. This pattern of reverting a security fix to a previous, more thoroughly tested implementation often indicates that the 'fix' introduced new security problems.",cd8cb54990be4fbd23e28f9d7c2c6170d3667692
